"PERMIT NUMBER","OWNER NAME","OPERATING NAME","STREET","CITY","STATE","ZIP","ZIP4","COUNTY"
"CA-W-15828","PICAZO VINEYARDS INC.","PICAZO VINEYARDS","633 KALTHOFF COMMON","LIVERMORE","CA",94550,6489,"ALAMEDA"
"CA-W-17186","ONE VARIA LLC"," ","6776 PRESTON AVE","LIVERMORE","CA",94551,9430,"ALAMEDA"
"CA-W-2913","GARY NICHOLAS NARDOLILLO","WINERY 21","5405 GREENVILLE RD","LIVERMORE","CA",94550,6702,"ALAMEDA"
"CA-W-17266","DAN BALDWIN","THE SAN FRANCISCO BAY WINERY","6500 TESLA RD","LIVERMORE","CA",94550,0,"ALAMEDA"
"CA-W-15133","EAGLE RIDGE VINEYARD, LLC","EAGLE RIDGE VINEYARD","10017 TESLA RD","LIVERMORE","CA",94550,0,"ALAMEDA"
"CA-W-16017","VSP SYSTEMS, INC.","DEER RIDGE VINEYARDS","1828 WETMORE RD","LIVERMORE","CA",94550,0,"ALAMEDA"
"CA-W-17144","ROBERT W. TAYLOR","RETZLAFF VINEYARDS","1356 S LIVERMORE AVE","LIVERMORE","CA",94550,9506,"ALAMEDA"
"CA-W-16882","MAIER WINERY, LLC","LAS POSITAS VINEYARDS","1828 WETMORE RD","LIVERMORE","CA",94550,0,"ALAMEDA"
"CA-W-15594","JAMES V MCGRAIL & GINGER D MCGRAIL","MCGRAIL VINEYARDS & WINERY","5600 GREENVILLE RD","LIVERMORE","CA",94550,6703,"ALAMEDA"
"CA-W-3299","THE WINE GROUP LLC","CONCANNON VINEYARD","4590 TESLA RD","LIVERMORE","CA",94550,9002,"ALAMEDA"
"CA-W-16989","CEDAR MOUNTAIN WINERY, INC.","CEDAR MOUNTAIN WINERY","7000 TESLA RD","LIVERMORE","CA",94550,9151,"ALAMEDA"
"CA-W-15968","MOHAN RAO RAVULAPATI & SURYA PADMA RAVULAPATI","RYHAN ESTATE VINEYARDS","5385 EAST AVENUE","LIVERMORE","CA",94550,0,"ALAMEDA"
"CA-W-3157","BOAVENTURA DE CAIRES, INC","BOAVENTURA VINEYARDS","9309 TESLA RD","LIVERMORE","CA",94550,9748,"ALAMEDA"
"CA-W-2768","CROOKED VINE, INC.","STONY RIDGE WINERY","4948 TESLA RD","LIVERMORE","CA",94550,9530,"ALAMEDA"
"CA-W-16434","KINNEY FAMILY VINTNERS LLC"," ","2245 S VASCO ROAD","LIVERMORE","CA",94550,0,"ALAMEDA"
"CA-W-15842","LES CHENES ESTATE VINEYARDS, LLC","LES CHENES ESTATE VINEYARDS","5562 VICTORIA LN","LIVERMORE","CA",94550,9732,"ALAMEDA"
"CA-W-3119","GARRY & NANCY RODRIGUE","RODRIGUE MOLYNEAUX WINERY","3053 MARINA AVE","LIVERMORE","CA",94550,9602,"ALAMEDA"
"CA-W-16073","CUDA RIDGE WINES, LLC","CUDA RIDGE","5385 E AVENUE","LIVERMORE","CA",94550,0,"ALAMEDA"
"CA-W-15403","RONALD J. ENOS AND JUDY D. ENOS","ENOS FAMILY VINEYARDS","633 KALTHOFF COMMON","LIVERMORE","CA",94550,0,"ALAMEDA"
"CA-W-3179","BENT CREEK WINERY, LLC","BENT CREEK WINERY","5455 GREENVILLE RD","LIVERMORE","CA",94550,6702,"ALAMEDA"
"CA-W-15019","BIG WHITE HOUSE, LLC","BIG WHITE HOUSE WINERY","6800 GREENVILLE RD","LIVERMORE","CA",94550,0,"ALAMEDA"
"CA-W-2622","HERBERT ANDREA HOUSTON & DEBRITA GEBEGEHU HOUSTON","ENAT WINERY","910 81ST AVE","OAKLAND","CA",94621,0,"ALAMEDA"
"CA-WS-135","RONALD E. HOTHEM","PACIFIC AMERICAN WAREHOUSING & TRUCKING CO.","9401 SAN LEANDRO ST","OAKLAND","CA",94603,2318,"ALAMEDA"
"CA-W-3024","JC CELLARS"," ","55 4TH ST","OAKLAND","CA",94607,7522,"ALAMEDA"
"CA-W-2963","CASA VINICOLA, INC."," ","2311 MAGNOLIA ST","OAKLAND","CA",94607,2308,"ALAMEDA"
"CA-W-2463","DASHE WINE CELLARS, LLC","DASHE CELLARS","55 4TH ST","OAKLAND","CA",94607,7522,"ALAMEDA"
"CA-W-16650","LA COSTA PACIFICA, INC.","URBAN LEGEND WINE","621 FOURTH ST","OAKLAND","CA",94607,0,"ALAMEDA"
"CA-W-16676","STAGE LEFT WINEWORKS","STAGE LEFT CELLARS","2102 DENNISON ST","OAKLAND","CA",94606,5238,"ALAMEDA"
"CA-W-16203","THOMAS KNIGHT WINES LLC","TWO MILE WINES","477 25TH ST","OAKLAND","CA",94612,2408,"ALAMEDA"
"CA-W-15958","R.H. WINERY LLC","RUBY HILL WINERY","446 VINEYARD AVE","PLEASANTON","CA",94566,6378,"ALAMEDA"
"CA-W-16656","JACKSON CELLARS","MITCHELL KATZ WINERY","1188 VINEYARD AVE","PLEASANTON","CA",94566,0,"ALAMEDA"
"CA-W-2080","ELLISTON VINEYARDS, INCORPORATED"," ","463 KILKARE RD","SUNOL","CA",94586,9415,"ALAMEDA"
"CA-W-3068","HUMMINGBIRD HILLS, LLC","LITTLE VALLEY VINEYARD","3595 LITTLE VALLEY RD","SUNOL","CA",94586,0,"ALAMEDA"
"CA-W-20158","FEIST WINES, LLC"," ","14467 STATE HIGHWAY 49","AMADOR CITY","CA",95601,0,"AMADOR"
"CA-W-20158","FEIST WINES, LLC"," ","14467 STATE HIGHWAY 49","AMADOR CITY","CA",95601,0,"AMADOR"
"CA-W-16577","RENO G. FARINELLI AND JOSEF H. SHEBL","FIDDLETOWN CELLARS","19580 AMERICAN FLAT SIDE RD","FIDDLETOWN","CA",95629,0,"AMADOR"
"CA-W-16815","HELWIG TASTING ROOM, LLC","Davancy Winery","21220 OSTROM RD","FIDDLETOWN","CA",95629,0,"AMADOR"
"CA-W-16854","AUGUST LEGENDRE CELLARS, LLC"," ","16953 MARY LN","FIDDLETOWN","CA",95629,9725,"AMADOR"
"CA-W-17007","GAISER VINEYARDS, INC.","DISTANT CELLARS","21390 OLSTROM RD","FIDDLETOWN","CA",95629,9706,"AMADOR"
"CA-W-15730","RICHARD & DAWN MARTELLA","OLETA WINERY","16701 TYLER RD","FIDDLETOWN","CA",95629,9746,"AMADOR"
"CA-W-1572","HENRY W. & WILMA S. GONZALEZ","FIDDLE FARM","6576 JACKSON VALLEY RD","IONE","CA",95640,9630,"AMADOR"
"CA-W-15736","ANDREW TANIS","TANIS VINEYARDS","13120 WILLOW CREEK RD","IONE","CA",95640,9719,"AMADOR"
"CA-W-16335","MARTIN LANE WINERY, LLC","MARTIN LANE WINERY","6110 MARTIN LN","IONE","CA",95640,9741,"AMADOR"
"CA-W-3197","MCMASTER WINE GROUP, INC.","ARGONAUT WINERY","13825 WILLOW CREEK RD","IONE","CA",95640,9716,"AMADOR"
"CA-W-2527","RENWOOD WINERY, INC.","RENWOOD WINERY","4581 BUENA VISTA RD","IONE","CA",95640,9625,"AMADOR"
"CA-W-16174","JOHN DONER","VECCHIO GAFEN WINERY","163 PLACER DR","JACKSON","CA",95642,2158,"AMADOR"
"CA-W-15122","COOPER VINEYARDS, LLC"," ","21365 SHENANDOAH SCHOOL RD","PLYMOUTH","CA",95669,9511,"AMADOR"
"CA-W-1721","SHENANDOAH INVESTMENT PROPERTIES, INC.","SHENANDOAH INVESTMENT PROPERTIES","12455 STEINER RD","PLYMOUTH","CA",95669,9504,"AMADOR"
"CA-W-2064","WILLIAM GEORGE EASTON JR. AND JANE LOUISE RIORDAN","DOMAINE DE LA TERRE ROUGE","10801 DICKSON RD","PLYMOUTH","CA",95669,9518,"AMADOR"
"CA-W-3218","THOMAS E. DILLIAN LAVONNE J. DILLIAN","DILLIAN WINES","12138 STEINER RD","PLYMOUTH","CA",95669,9502,"AMADOR"
"CA-W-17114","SOBON WINE COMPANY LLC","SHENANDOAH VINEYARDS","12300 STEINER RD","PLYMOUTH","CA",95669,9503,"AMADOR"
"CA-W-3428","LAWRENCE C. LONG","AMADOR CELLARS","11093 SHENANDOAH RD","PLYMOUTH","CA",95669,9507,"AMADOR"
"CA-W-15961","CINKO VINEYARDS, INC.","CINKO VINEYARDS","12595 STEINER RD","PLYMOUTH","CA",95669,9510,"AMADOR"
"CA-W-1870","BRUCE H. TICHENOR & JANIS D. TICHENOR","STORY WINERY","10525 BELL RD","PLYMOUTH","CA",95669,9516,"AMADOR"
"CA-W-863","SIERRA SUNRISE VINEYARDS","MONTEVINA WINERY","20680 SHENANDOAH SCHOOL RD","PLYMOUTH","CA",95669,9511,"AMADOR"
"CA-W-17363","TKC VINEYARDS LLC","TKC VINEYARDS","11001 VALLEY DR","PLYMOUTH","CA",95669,9523,"AMADOR"
"CA-W-15084","STEPHEN AND JAMIE CONCANNON"," ","14650 HWY 124","PLYMOUTH","CA",95669,0,"AMADOR"
"CA-W-17167","CHARLES VENNELL HAVILL AND MICHAEL JESSICA KRAFT","BELLAGRACE VINEYARDS","22715 UPTON RD","PLYMOUTH","CA",95669,9509,"AMADOR"
"CA-W-15478","VILLA TOSCANO, INC.","VILLA TOSCANO","10600 SHENANDOAH RD","PLYMOUTH","CA",95669,9513,"AMADOR"
"CA-W-17322","ANDIS WINES, LLC"," ","11000 SHENANDOAH RD","PLYMOUTH","CA",95669,0,"AMADOR"
"CA-W-15988","C.G. DI ARIE VINEYARD & WINERY, LLC","C.G. DI ARIE VINEYARD & WINERY","19919 SHENANDOAH SCHOOL RD","PLYMOUTH","CA",95669,9524,"AMADOR"
"CA-W-15339","KARLY WINES, INC.","KARLY WINES","11076 BELL RD","PLYMOUTH","CA",95669,9516,"AMADOR"
"CA-W-15470","DOBRA ZEMLJA WINERY, INC.","DOBRA ZEMLJA","12505 STEINER RD","PLYMOUTH","CA",95669,9510,"AMADOR"
"CA-W-17556","REN ACQUISITION, INC.","Renwood Winery","12225 STEINER RD","PLYMOUTH","CA",95669,9502,"AMADOR"
"CA-W-17001","JOHANNA ANNETTE YOUNG","YOUNG'S VINEYARD","10120 SHENANDOAH RD","PLYMOUTH","CA",95669,9505,"AMADOR"
"CA-W-2509","JERRY & PAMELA L. NOTESTINE","NINE GABLES VINEYARD WINERY","10778 SHENANDOAH RD","PLYMOUTH","CA",95669,9513,"AMADOR"
"CA-W-17135","JEFF RUNQUIST WINES, INC.","JEFF RUNQUIST WINES","10776 SHENANDOAH RD","PLYMOUTH","CA",95669,0,"AMADOR"
"CA-W-2659","JAMES MAYO & SUZANNE GENE GULLETT","VINO NOCETO","10901 SHENANDOAH RD","PLYMOUTH","CA",95669,0,"AMADOR"
"CA-W-3369","MARILYN K. HOOPES AND TODD RANDALL PICKENS","KARMERE WINERY & VINEYARD","11970 SHENANDOAH RD","PLYMOUTH","CA",95669,9525,"AMADOR"
"CA-W-16627","COURAGEOUS, INC.","SERA FINA CELLARS","17000 LATROBE RD","PLYMOUTH","CA",95669,8604,"AMADOR"
"CA-W-15201","WILDEROTTER WINERY, LLC","WILDEROTTER WINERY","19890 SHENANDOAH SCHOOL RD","PLYMOUTH","CA",95669,0,"AMADOR"
"CA-W-1559","BENJAMIN B. ZEITMAN AND MARY KATHLEEN QUINN","AMADOR FOOTHILL WINERY","12500 STEINER RD","PLYMOUTH","CA",95669,9510,"AMADOR"
"CA-W-15038","STONEHOUSE VINEYARDS & WINERY, LLC","STONEHOUSE VINEYARDS & WINERY","10861 SHENANDOAH RD","PLYMOUTH","CA",95669,9506,"AMADOR"
"CA-W-3426","OLIVER W. AND ROBIN P. BRAY","BRAY VINEYARDS","10590 SHENANDOAH RD","PLYMOUTH","CA",95669,9505,"AMADOR"
"CA-W-17531","HELWIG TASTING ROOM, LLC","HELWIG VINEYARDS & WINERY","11555 SHENANDOAH RD","PLYMOUTH","CA",95669,0,"AMADOR"
"CA-W-16356","ISCANDER JESUS BORJON","BORJON WINERY","11270 SHENANDOAH RD","PLYMOUTH","CA",95669,9507,"AMADOR"
"CA-W-1635","CHARLES JOHN SPINETTA","CHARLES SPINETTA WINERY","12557 STEINER RD","PLYMOUTH","CA",95669,9510,"AMADOR"
"CA-W-15214","WILLIAM S AND LISA WATSON"," ","14520 RIDGE RD","SUTTER CREEK","CA",95685,9620,"AMADOR"
"CA-W-16557","DAVID SCOTT KEITH AND ROXANNE L. KEITH","SIERRA VIEW WINERY","15160 SIERRA VIEW LN","SUTTER CREEK","CA",95685,0,"AMADOR"
"CA-W-2129","SUTTER RIDGE VINEYARDS, LP, JOHN L. BREE, (GENERAL PARTNER)","SUTTER RIDGE VINEYARDS","14110 RIDGE RD","SUTTER CREEK","CA",95685,9631,"AMADOR"
"CA-W-20378","RUSSIAN RIDGE WINERY, LLC"," ","2301 MONARCH ST","ALAMEDA","CA",94501,0,"Alameda"
"CA-W-20341","URBANO WINES, LLC","URBANO CELLARS","2323 B 4TH ST","BERKELEY","CA",94710,2437,"Alameda"
"CA-W-20157","WINE TREE FARM LLC"," ","14467 STATE HWY 49","AMADOR CITY","CA",95601,0,"Amador"
"CA-W-20017","MORSE WINES, LLC","MORSE WINES","22355 LAWRENCE RD","FIDDLETOWN","CA",95629,570,"Amador"
"CA-W-20164","BAIOCCHI FAMILY VINEYARDS, LLC","BAIOCCHI WINERY","11000 SHENANDOAH RD","PLYMOUTH","CA",95669,190,"Amador"
"CA-W-20383","CHARLES B. MITHCELL","J. FOSTER MITCHELL","10851 SHENADOAH RD","PLYMOUTH","CA",95669,0,"Amador"
"CA-W-20209","BIANCHINI CELLARS, LLC","BIANCHINI CELLARS","18590 PONDEROSA HILLS RD","VOLCANO","CA",95689,9792,"Amador"
"CA-W-16858","TOD AND ALYSE HICKMAN","HICKMAN FAMILY VINEYARDS","77 ORANGE AVE","BANGOR","CA",95914,0,"BUTTE"
"CA-W-16255","JOHN U RONEY","RONEY WINES","5900 ANITA RD","CHICO","CA",95973,0,"BUTTE"
"CA-W-1836","HONEY RUN HONEY CO."," ","2309 PARK AVE","CHICO","CA",95928,6706,"BUTTE"
"CA-W-15739","CAROLINA BERTAGNA","BERTAGNA SON KISSED VINEYARD","3363 HEGAN LN","CHICO","CA",95928,9589,"BUTTE"
"CA-W-17218","STEPHEN J. SCHUSTER","EMERALD C VINEYARDS","3746 KEEFER RD","CHICO","CA",95973,9708,"BUTTE"
"CA-W-1659","NORMAN L. & JANICE P. ROSENE","ODYSSEY WINERY & VINEYARDS","6237 COHASSET RD","CHICO","CA",95973,8838,"BUTTE"
"CA-W-16226","RICK W SORENSON & PAMELA F.W. SORENSON","WILD OAK VINEYARD AND WINERY","630 OASIS DR","CHICO","CA",95973,9785,"BUTTE"
"CA-W-2911","ALLEN F. AND SUZANNE D'ALO KREUTZER","DRYTOWN CELLARS","16030 HIGHWAY 49","DRYTOWN","CA",95699,0,"BUTTE"
"CA-W-17474","NEAL CLINE","CLINE ORGANICS","9975 GARDEN CREEK RD","DURHAM","CA",95938,9692,"BUTTE"
"CA-W-16346","STEPHEN AND LUCREASIA GALE","GALE VINEYARDS","9345 STANFORD LN","DURHAM","CA",95938,0,"BUTTE"
"CA-W-1875","PHILIP LAROCCA","LAROCCA VINEYARDS","FOREST RANCH P.O.TURN E.ONTO HWY 32 DRIVE 1 MILE AND TURN...","FOREST RANCH","CA",95942,0,"BUTTE"
"CA-W-2341","ARRIGONI & CECCHI ENTERPRISES, LLC","GREY FOX VINEYARDS","114 GREY FOX LN","OROVILLE","CA",95966,9460,"BUTTE"
"CA-W-15392","SUNG JA CHOI"," ","51 NUGGET RANCH RD","OROVILLE","CA",95966,9352,"BUTTE"
"CA-W-2884","LONG CREEK WINERY, LLC","LONG CREEK WINERY","233 WARD BLVD","OROVILLE","CA",95966,9246,"BUTTE"
"CA-W-3010","QUILICI, INC."," ","72 QUAIL HILL PL","OROVILLE","CA",95966,5672,"BUTTE"
"CA-W-17193","PROSPECT 772 WINE COMPANY, INC.","PROSPECT 772 WINE COMPANY","772 APPALOOSA WAY","ANGELS CAMP","CA",95222,9646,"CALAVERAS"
"CA-W-15960","CHIARELLA WINES, L.L.C.","CHIARELLA WINES","3136 MEACHAM RANCH RD","ANGELS CAMP","CA",95222,0,"CALAVERAS"
"CA-W-16673","DODASA RANCH WINERY, INC.","DODASA RANCH WINERY","5059 CAROL LN","BURSON","CA",95225,0,"CALAVERAS"
"CA-W-17289","RYAN DAVID TEETER AND SARA REED TEETER","LA FOLIA WINERY","90 ROCK CREEK RD","COPPEROPOLIS","CA",95228,9250,"CALAVERAS"
"CA-W-16088","LAVENDER RIDGE VINEYARD, INC","LAVENDER RIDGE VINEYARD","3030 HUNT RD","COPPEROPOLIS","CA",95228,0,"CALAVERAS"
"CA-W-17196","METATE HILL, INC.","METATE HILL VINEYARDS","90 ROCK CREEK RD","COPPEROPOLIS","CA",95228,0,"CALAVERAS"
"CA-W-16137","AYRAEL VIEUX WINERY, LLC","AYRAEL VIEUX WINERY","1690 MONGE RANCH RD","DOUGLAS FLAT","CA",95229,0,"CALAVERAS"
"CA-W-16900","MICHAEL j. & JOANN KILLIAN","M & J CELLARS","8854 E MURRAY CREEK RD","MOUNTAIN RANCH","CA",95246,9737,"CALAVERAS"
"CA-W-16366","BEAUX CHEVAUX, LLC","BEAUX CHEVAUX","8129 PONDEROSA WAY","MOUNTAIN RANCH","CA",95246,0,"CALAVERAS"
"CA-W-16104","BODEGA DEL SUR WINERY, INC.","BODEGA DEL SUR","7501 SHEEP RANCH RD","MOUNTAIN RANCH","CA",95246,9731,"CALAVERAS"
"CA-W-15106","INDIAN ROCK VINEYARDS, LLC"," ","1154 PENNSYLVANIA GULCH RD","MURPHYS","CA",95247,9589,"CALAVERAS"
"CA-W-16013","TANGLEWOOD ENTERPRISES, INC.","MILLIAIRE CELLARS","3468 MURPHYS GRADE RD","MURPHYS","CA",95247,0,"CALAVERAS"
"CA-W-15541","GOLDEN EAGLE ESTATES, LLC"," ","2690 SAN DOMINGO RD","MURPHYS","CA",95247,9646,"CALAVERAS"
"CA-W-15228","BRICE STATION VINTNERS, LLC"," ","3353 E HIGHWAY 4","MURPHYS","CA",95247,9612,"CALAVERAS"
"CA-W-15430","NEWSOME-HARLOW WINERY, LLC","NEWSOME-HARLOW WINERY","821 MURPHYS CREEK RD. BUILDING E","MURPHYS","CA",95247,0,"CALAVERAS"
"CA-W-1715","KAUTZ VINEYARDS, INC.","IRONSTONE VINEYARDS","1894 SIX MILE RD","MURPHYS","CA",95247,0,"CALAVERAS"
"CA-W-3450","HATCHER WINERY LLC","HATCHER WINERY","4667 FRENCH GULCH RD","MURPHYS","CA",95247,9640,"CALAVERAS"
"CA-W-16201","TANGLEWOOD ENTERPRISES, INC.","BLACK SHEEP VINTNERS","3468 MURPHYS RD","MURPHYS","CA",95247,0,"CALAVERAS"
"CA-W-16297","VAL DU VINO WINERY, INC","VAL DU VINO WINERY","634 FRENCH GULCH RD","MURPHYS","CA",95247,9592,"CALAVERAS"
"CA-W-3152","JOSEPH & ANNA GATES","CATANO WINERY","2861 MURRAY RIDGE RD","SAN ANDREAS","CA",95249,0,"CALAVERAS"
"CA-W-2996","STAR CANYON, LLC","CALAVERAS CREEK WINERY","300 STAR CANYON TRL","SHEEP RANCH","CA",94702,0,"CALAVERAS"
"CA-W-16961","VADER, NATHAN PALMER AND KIRSTEN AIMEE","VINA MODA","8055 AIROLA RD","VALLECITO","CA",95251,0,"CALAVERAS"
"CA-W-15683","IAN GRAHAM RENNER","CANTERBURY VINEYARDS","8055 AIROLA RD","VALLECITO","CA",95251,0,"CALAVERAS"
"CA-W-3062","TANNER VINEYARDS COMPANY, INC.","TANNER VINEYARDS & WINERY","3856 W HIGHWAY 4","VALLECITO","CA",95251,0,"CALAVERAS"
"CA-W-3399","TWISTED OAK WINERY, LLC","TWISTED OAK WINERY","4280 RED HILL RD","VALLECITO","CA",95251,0,"CALAVERAS"
"CA-W-15150","LAVENDER RIDGE VINEYARD, INC.","LAVENDER RIDGE VINEYARD","3210 MAIN ST","VALLECITO","CA",95251,0,"CALAVERAS"
"CA-W-2600","GARY J. ZUCCA & CAROL P. ZUCCA","ZUCCA MOUNTAIN VINEYARDS","7830 AIROLA RD","VALLECITO","CA",95251,0,"CALAVERAS"
"CA-W-3185","IRISH VINEYARDS"," ","2849 HIGHWAY 4","VALLECITO","CA",95251,9705,"CALAVERAS"
"CA-W-17226","VILLA VALLECITO VINEYARDS, INC.","VILLA VALLECITO VINEYARDS","8330 AIROLA RD","VALLECITO","CA",95251,0,"CALAVERAS"
"CA-W-15343","MOKELUMNE HILL LLC"," ","5369 PALOMA RD","VALLEY SPRINGS","CA",95252,9604,"CALAVERAS"
"CA-W-2686","DOMAINE BECQUET, LLC","DOMAINE BECQUET","2173 E HIGHWAY 12","VALLEY SPRINGS","CA",95252,8613,"CALAVERAS"
"CA-W-15792","SAMUEL G. HERNANDEZ","WALTON'S MOUNTAIN WINERY & VINEYARD","383 BALD MOUNTAIN RD","WEST POINT","CA",95255,9710,"CALAVERAS"
"CA-W-16474","HANNAH NICOLE VINEYARDS, INC.","HANNAH NICOLE VINEYARDS","6700 BALFOUR RD","BRENTWOOD","CA",94513,0,"CONTRA COSTA"
"CA-W-16110","OLIN J. SCHULTZ","OLIN WINES","975 DETROIT AVE","CONCORD","CA",94518,2526,"CONTRA COSTA"
"CA-W-17184","DEPARTMENT C WINES, LLC","DEPARTMENT C WINES","975 DETROIT AVE","CONCORD","CA",94518,2526,"CONTRA COSTA"
